,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,DALMATICO45,oglasivaca,iphone 14 pro max 256 gb crni,Splitsko-dalmatinska,rabljeno,900,iphone 14 pro max 256gb mob.koristen odlicno ocuvan bez zareza nosen u futroli i kaljeno staklo baterija 87% garancija je istekla original adapter i kabel za punjenje cijena fixna,42403756,23.06.2024.,1442
1,soki1,oglasivaca,apple iphone 14 pro max garancija jos 15 mjeseci ,Bjelovarsko-bilogorska,rabljeno,800,cijena je fiksna prodaje se 14 pro max 128gb star 9 mjeseci u super stanju. uredjaj ima tvornicku garanciju 1g ali je produzena garancija u a1 na 2 godine sto znaci da garancija vrijedi jos 1g i 3 mjeseca. preporucujem osobnu primopredaju na relaciji bjelovar cazma zagreb ili saljem postom uz prethodnu uplatu. baterija je na 96% sa uredjajem dolazi kutija garancija i kabel. a na poklon dobivate punjac i masku. zamjene ne dolaze u obzir ,44211552,23.06.2024.,271
2,Maranadjj,oglasivaca,iphone 14 pro max 256gb baterija 88%,Osječko-baranjska,rabljeno,850,sve ispravno ocuvan. uz njega maskica kaljeno staklo original brzi punjac naravno i kutija. moguca zamijena za android uredjaj u toj cijeni ili skuplji uz moju nadoplatu. baterija 88% preuzimanje iskljucivo kod mene na adresi nikakva parkiralista i slicno. ne saljem postom ,44280894,23.06.2024.,32
3,damianleboss7,oglasivaca,iphone 14 pro max bijeli hitno,Grad Zagreb,rabljeno,800,bez crtice baterija 91 %,44279075,23.06.2024.,130
4,mark1224,oglasivaca,iphone 14 pro max 98% zdravlje baterije,Grad Zagreb,rabljeno,860,iphone 14 pro max 128gb space black stanje 10 10 odlicno zdravlje baterije 98% face id i sve ostalo radi nikad nista mijenjano kutija 860 091 503 714,44059763,22.06.2024.,1327
5,zovime,oglasivaca,iphone 14 pro max 128gb space black kupljen 2 24,Grad Zagreb,rabljeno,850,prodajem iphone 14 pro max od 128gb memorije u crnoj boji. mobitel je u savrsenom stanju bez ikakvih tragova koristena kao sta mozete vidjeti na slikama.od prvog dana stavljeno zastitno staklo na ekran koje je i sada gore. uredjaj je aktiviran u 2 mjesecu ove godine te ima vazecu appla garanciju. na uredjaju je sve ispravno te nikada nije niste poprvaljno ili mijenjano. dolazi sa racunom radi na sve mreze. moguca je svaka provjera uredjaja.,44053892,22.06.2024.,1813
6,NanaA7252,oglasivaca,iphone 14 pro max,Virovitičko-podravska,rabljeno,750,prodajem iphone 14 pro max jer sam si kupio iphone 15 pro max. 14 pro max imam 9 mjeseci. imam njemacki broj broj telefona 4915156109420,44275817,22.06.2024.,57
7,mark1224,oglasivaca,iphone 14 pro max 95% zdravlje baterije,Grad Zagreb,rabljeno,840,iphone 14 pro max 128gb space black stanje 10 10 kaljeno staklo na ekranu zdravlje baterije 95% face id i sve ostalo radi kutija racun 840 091 503 7140,43881765,22.06.2024.,694
8,Ramusmamus,oglasivaca,iphone 14 pro max 256gb space black,Splitsko-dalmatinska,rabljeno,900,iphone 14 pro max 256gb crne boje koristen doslovno nov racun i garancija t mobile do 09.06.2024.baterija 93%.cijena fixna.,43857024,22.06.2024.,544
9,Pavle1711,oglasivaca,iphone 14 pro max,Grad Zagreb,rabljeno,799,prodajem navedeni uredaj star godinu i 3 mjeseca. stanje je 10 10. cjelo vrijeme u maskici i kaljenom staklu. baterija 95% mobitel se nalazi u zg moguca zamjena za samsung s24 ultru uz moju nadoplatu. ovo sto se vidi na zaslonu to je od kaljenog stakla.,43920607,22.06.2024.,492
10,Malifico,oglasivaca,iphone 14 pro max 256gb kai nov ,Grad Zagreb,rabljeno,749,iphone 14 pro max 256gb u perfektnom stanju kutija oprema baterija 88% poklon maskica kontakt 0997529400,44213050,21.06.2024.,538
11,Zalagaonica sesvete,trgovine,iphone 14 pro max 128 gb baterija 88% u trgovini,Grad Zagreb,rabljeno,729,u super stanju iphone 14 pro max 128 gb baterija 88% boja space black mogucnost izdavanja r1 racuna nalazimo se u sesvetama na adresi bjelovarska 29 radno vrijeme pon pet 09 20 sati subota 09 15 sati mogucnost slanja hp expressom po cijeloj hr pogledajte nase ostale oglase kupionicasesvete otkup mobitela,44135052,21.06.2024.,797
12,Zalagaonica sesvete,trgovine,iphone 14 pro max 256 gb u trgovini,Grad Zagreb,rabljeno,749,u dobrom stanju racun i garancija od 20.06.2023. 256 gb baterija 89% boja space black mogucnost izdavanja r1 racuna nalazimo se u sesvetama na adresi bjelovarska 29 radno vrijeme pon pet 09 20 sati subota 09 15 sati mogucnost slanja hp expressom po cijeloj hr pogledajte nase ostale oglase kupionicasesvete otkup mobitela,44026788,21.06.2024.,914
13,Zalagaonica Kvatrić,trgovine,iphone 14 pro max 128 gb,Grad Zagreb,rabljeno,810,rabljeno ima dosta crtica ogrebotina po ekranu garancija po s n do 13.07.2024. zdravlje baterije 100% opseg isporuke mobitel karticno placanje 890 00 lokacija trg eugena kvaternika 2 zagreb,44085263,21.06.2024.,908
14,iconnectservis,trgovine,iphone 14 pro max 128gb rabljeno do 36 rata,Osječko-baranjska,rabljeno,849,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 14 pro max 128gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno zdravlje baterije 99% boja crna mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 849 00 cijena za kartice na rate 950 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,41931396,21.06.2024.,418
15,hunt3r991,oglasivaca,iphone 14 pro max 256gb,Zadarska,rabljeno,620,telefon je kupljen 2024. memorija 256 gb. kapacitet baterije 88%. zvucnici zvuk 100%. straznja ploca je savrseno pristajala. prednja ploca zaslon idealna je za koristenje u suhim i suhim uvjetima. bonus za telefon soft touch maska original jedinica kabel ,44255647,20.06.2024.,132
16,mdul2,oglasivaca,iphone 14 pro max,Bosna i Hercegovina,rabljeno,450,ispavan sa racunom papirima odkljucan icloud sim fre pojesduje original punjac kutiju sve info na wcp 38761093207,44255179,20.06.2024.,104
17,marinkramar23,oglasivaca,prodajem iphone 14 pro max 128gb black zdravlje baterije 88%,Koprivničko-križevačka,rabljeno,800,iphone 14 pro max 128gb black. stanje jako dobro u maskici je od prvog dana na ekranu se nalazi kaljeno staklo. samo prodaja molim bez zamjena.,44052837,20.06.2024.,193
18,leonora1603,oglasivaca,iphone 14 promax 256 gb,Primorsko-goranska,rabljeno,870,iphone u super stanju sve ispravno i odlicno radi prodajem iskljucivo u kompletu sa apple watch 5 44mm satom koji je takodjer u super stanju i potpuno ispravan,44224135,20.06.2024.,83
