,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,iMOBILE,trgovine, prodajem apple iphone 13 pro max 256gb sve mreze garancija ,Vukovarsko-srijemska,rabljeno,760, imobile shop j.j.strossmayera 21 32000 vukovar kontakt broj 098 681 478 098 911 6590 prodajem apple iphone 13 pro max 256gb kupljen kao slobodan uredjaj 88% zdravlje baterije radi na sve mreze zlatna boja max.ocuvan uz mobitel ide kutija usb kabal sim iglica garancija 3mj. racun ne saljem tiskom cijena 760 00 5.726 22kn opcije placanja gotovina kartice moguce placanje na rate karticama pbz erste do 12 rata navedena cijena je iskljucivo za gotovinsko placanje facebook.com imobile.vu instagram.com imobile.shop sve info na 098 681 478 098 911 6590,42264060,03.01.2024.,243
1,mark1224,oglasivaca,iphone 13 pro max 10 10,Grad Zagreb,rabljeno,670,iphone 13 pro max 128gb sierra blue stanje 10 10 kaljeno staklo na ekranu zdravlje baterije 89% face id i sve ostalo radi kutija maskica zamjene ne,42359465,03.01.2024.,72
2,smart_8888,oglasivaca,apple iphone 13 pro max 256gb silver odlicno ocuvan 96% bat sve mreze,Primorsko-goranska,rabljeno,680,apple iphone 13 peo max 256 gb silver odlicno ocuvan zdravlje baterije 96% moze se pruzeti u rijeci ili prema dogovoru.,42209853,03.01.2024.,294
3,smart_8888,oglasivaca,apple iphone 13 pro max 128gb silver odlicno stanje oprema sve mreze,Primorsko-goranska,rabljeno,680,apple iphone 13 pro max 128 gb silver u odlicnom stanju bez tragova koristenja zdravlje baterije 89%. moze se pruzeti u rijeci ili saljem dpd om.,41730974,03.01.2024.,316
4,iconnectservis,trgovine,apple iphone 13 pro 128gb rabljeno do 36 rata zamjena,Osječko-baranjska,rabljeno,659,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj iphone 13 pro 128gb jamstvo na uredjaj jamstvo 3 mjeseci stanje uredjaja rabljeno boja blue zdravlje baterije 90% mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 659 00 cijena za kartice na rate 780 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,40530552,03.01.2024.,625
5,franesirotkovic,oglasivaca,iphone 13 pro max,Splitsko-dalmatinska,rabljeno,680,prodajem apple iphone 13 pro max space gray 128 gb sve mreze kupljen prije 2 godine u odlicnom stanju zajedno s quad lock zastitnom maskom. uredaj je kao novi posto je cijelo vrijeme bio u zastitnoj maskici. stanje baterije 89%. cijena 680 fiksno bez zamjena . samo osobna predaja.,41490502,03.01.2024.,123
6,vjurina,oglasivaca,iphone 13 pro max 256gb,Krapinsko-zagorska,rabljeno,650,2 kom stari 18 mjeseci bez ostecenja sivi i svijetlo plavi cijena 650 kom. fiksna cijena,42229692,03.01.2024.,531
7,jedvajigor,oglasivaca,iphon 13 pro max kao novo ,Grad Zagreb,rabljeno,620,prodajem iphon 13 pro max u super stanju 128gb sa svom pripradajucom opremom 87% baterije ,42238077,03.01.2024.,542
8,Iphone456,oglasivaca,iphone 13 pro max 256gb top stanje,Splitsko-dalmatinska,rabljeno,750,prodajem iphone 13 pro max graphite boje u savrsenom stanju. maska i zastitno staklo na njemu od prvog dana. mobitel dolazi u kutiji sa originalnim kavelom za punjenje i tri maske crna maslinasta i modra koje su koristene i crna nova nekoristena. mala ogrebotina vidljiva na zadnjoj slici osim toga ni najmanji friz na njemu. zdravlje baterije 84% vidi se na predzadnjoj slici. zamjene me ne zanimaju.,42223666,02.01.2024.,198
9,iPhone786,oglasivaca,iphone 13 pro max 256gb,Brodsko-posavska,rabljeno,700,na prodaju navedeni mob sa 256gb brzom memorijom. crne boje graphite. dolazi sa kutijom i svojom opremom. gratis par maskica i staklenih folija. staklena folija na njemu od prvog dana. zdravlje 85% bez zamjena ikakvih samo kes.,42232181,02.01.2024.,162
10,Mateja0017,oglasivaca,iphone 13 promax 256gb,Zagrebačka,rabljeno,800,prodajem iphone 13 promax 256 gb siva boja bez ostecenja. original kutija i kabel za punjenje,42188682,02.01.2024.,324
11,nb2212,oglasivaca,iphone 13 pro max 128gb,Primorsko-goranska,rabljeno,720,prodajem iphone 13 pro max 128 gb. kupljen prije dvije godine. mobitel je bez crtice jer je od prvoga dana u maskici i zastitnom staklu. zvati na broj 0997711240.,42424358,02.01.2024.,23
12,goranzujic,trgovine,iphone 13 pro max 128gb,Primorsko-goranska,rabljeno,730,space gray bez crtice sacuvan u originalnoj kutiji sa kabelom za punjenje,41936435,02.01.2024.,217
13,alen1233,oglasivaca,iphone 13 pro max 512gb sierra blue,Varaždinska,rabljeno,819,od prvog dana u zastitnoj maskici i zastitno staklo na ekranu. 100% ispravan i ocuvan. 89% zdravlje baterije prodaje se zbog kupnje 14 pro max 512gb. iphone 13 pro max 512gb,42414989,02.01.2024.,23
14,Minnizmajo,oglasivaca,iphone 13 pro max 128gb,Splitsko-dalmatinska,rabljeno,769,mobitel je izvrsno ocuvan dolazi uz kutiju i punjac dostupan je sivi i plavi radi na sve mreze vise info na 0953513552,41696700,02.01.2024.,433
15,iLuka,oglasivaca,iphone 13 pro max 256gb,Varaždinska,rabljeno,800,iphone 13 pro max 256gb,42414210,02.01.2024.,27
