,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,getriba22,oglasivaca,iphone 14 pro max 256 gb space black 9 maskica za iphone,Grad Zagreb,rabljeno,890,prodajem iphone 14 pro max 256 gb u odlicnom stanju mobitel cijelo vrijeme imao maskicu i zastitno staklo. s mobitelom dolaze vrhunske maskice zastitna stakla i dosta dodatne opreme vrijednosti oko 300 . cijena po dogovoru ,42359927,27.12.2023.,242
1,Paulomag,oglasivaca,iphon 14pro max,Primorsko-goranska,rabljeno,950,prodajem navedeni mobitel star godinu dana dana savrseno ocuvan 10 10. uz mobitel ide sva oprema racun i kupcu na poklon par maskica. za sve info kontakt na navedini broj. bez sms ova samo pozivi,42384012,27.12.2023.,8
2,zovime,oglasivaca,iphone 14 pro max 128gb space black kupljen 8 23,Grad Zagreb,rabljeno,900,prodajem iphone 14 pro max 128gb memorije u crnoj boji. mobitel je u savrsenom stanju bez vidljivih tragova koristenja. uredjaj je kupljen u 10mjesecu 2023 godine te ima vazecu garanciju. zdravlje baterije je na 100% kapaciteta. nikada nista nije popravljano ili mijenjano te je sve ispravno. moguca je svaka provjera uredjaja.,42361620,27.12.2023.,214
3,Sanmarko1991,oglasivaca,apple iphone 14 pro max 128 gb baterija 99% na sve mreze radi,Osječko-baranjska,rabljeno,950,kratko koristen visak i vise se ne koristi stanje top baterija na 99%. radi na sve mreze moze se koristit u inozemstvu... jamstvo do 2 mjeseca 24. ovo se isplati kupit. u okolici moguca dostava,42048530,27.12.2023.,451
4,arabellarubi,oglasivaca,iphone 14 pro max 128gb gold,Grad Zagreb,rabljeno,850,prodajem iphone 14 pro max gold kao novi star 11 mjeseci,42329006,27.12.2023.,820
5,vilika91,oglasivaca,iphone 14 pro max 256 gb,Osječko-baranjska,rabljeno,890,zdravlje 100% garancija do 26.3.2024 zastita na kamerama i kaljeno staklo zamjena za 13 pro 13 pro max ili 14 pro,42382772,27.12.2023.,11
6,medeni20,oglasivaca,iphone 14 pro max 128gb kao nov gratis punjac i maskice,Splitsko-dalmatinska,rabljeno,960,960 kao nov moguce zamjene garancija do 15.12.2023. sve mreze gratis punjac i maskica zdravlje baterije 99% preuzimanje split solin kastela sinj i okolica info 0912754444 ne odg na njuskalo poruke,42239903,27.12.2023.,120
7,mark1224,oglasivaca,iphone 14 pro max 256gb 100% zdravlje baterije,Grad Zagreb,rabljeno,950,iphone 14 pro max 256gb graphite stanje odlicno zdravlje baterije 100% face id i sve ostalo radi garancija vrijedi do 09 2024 dolazi s maskicom 950 ,42382056,27.12.2023.,1
8,arlond,oglasivaca,iphone14 pro max 128 gb,Grad Zagreb,rabljeno,950,izvanredno 10 10 ocuvan iphone 14 pro max od 128 gb. zastita stakla. uz mob dolazi jos jedna dodatna maskica crna spigen. slobodan za sve mreze. baterija 100% kapaciteta. cijena fixna. zamjene ne.,42371594,27.12.2023.,32
9,smart_8888,oglasivaca,apple iphone 14 pro max 128gb deep purple kao novi racun garancija,Primorsko-goranska,rabljeno,799,apple iphone 14 pro max 128 gb deep purple kao novi s racunom i garancijom do 20.04.24. zdravlje baterije 97% mozebse pruzeti u rijeci ili prema dogovoru.,42255975,27.12.2023.,211
10,smart_8888,oglasivaca,apple iphone 14 pro max 256gb silver kao novi racun garanc 97% bat,Primorsko-goranska,rabljeno,950,apple iphone 14 pro max 256gb silver racun garancija do 07.02. kao novi zdravlje baterije 97%. radi na sve mreze moze se pruzeti u rijeci.,42201833,27.12.2023.,174
11,maxy2,oglasivaca,iphone 14pro max gold sa svom opremom racun garancija,Grad Zagreb,rabljeno,900,14 pro max gold sa svom opremom top stanje 10 10..kaljeno metalizirano staklo maskica racun garancija.,42370241,26.12.2023.,62
12,Frgazer,oglasivaca,iphone 14 pro max 128gb zamjena prodaja,Grad Zagreb,rabljeno,850,1 godinu star sa racunom i kutijom. ko nov bez tragova koristenja. uvijek nosen u maskici i staklu. crna boja. 128gb moze zamjena za drugi mobitel sa vasom zamjenom. ponudite pa cu vam javiti da li sam zainteresiran.,42369275,26.12.2023.,69
13,iKelePRO,oglasivaca,iphone 14 pro max 128gb deep purple,Grad Zagreb,rabljeno,1000,prodajem iphone 14 pro max 128gb memorije u deep purple izvedbi tamno ljubicastoj boji . mobitel koristen par dana jako malo novog stanja bez tragova koristenja. kupljen pocetkom 12 2023 godine. dolazi sa kutijom racunom i jamstvom. baterija na 100% kapaciteta. radi na sve mreze.,42367476,26.12.2023.,83
