,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,zovime,oglasivaca,iphone 14 pro max 128gb 5 23 100%,Grad Zagreb,rabljeno,950,prodajem iphone 14 pro max od 128 gb memorije u crnoj boji. mobitel je u savrsenom stanju bez i najmanjeg traga koristenja sa zastitnim staklom od prvog dana na ekranu uredjaja i u maskici. uredjaj je kupljen u 5. mjesecu ove godine te ima aktivnu garanciju. uredjaj radi na sve mreze. na uredjaju nikada nista nije mijenjalo u popravljeno te je sve ispravno. zdravlje baterije na 100% kapaciteta. uredjuje krace vrijeme koristen u poslovne svrhe od strane starije zenske osobe. moguce je svaka provjera uredjaja,41948302,29.11.2023.,789
1,mark1224,oglasivaca,iphone 14 pro max 10 10,Grad Zagreb,rabljeno,900,iphone 14 pro max 128gb silver stanje odlicno zdravlje baterije 96% face id i sve ostalo radi kupljen u 4.mj 2023. dolazi uz kutiju racun i maskicu placenu 50 zamjene ne,42130147,29.11.2023.,23
2,Sezona2014,oglasivaca,iphone 14 promax 256gb purple,Grad Zagreb,rabljeno,950,iphone 14 pro max bez jedne crtice na mobitelu kao novvv 256gb sa kutijom,41990924,29.11.2023.,537
3,Zalagaonica sesvete,trgovine,iphone 14 pro max 256 gb kao nov u trgovini,Grad Zagreb,rabljeno,979,kao nov racun i garancija od 28.05.2023. 256 gb boja space black baterija 99 % mogucnost izdavanja r1 racuna nalazimo se u sesvetama na adresi bjelovarska 29 radno vrijeme pon pet 09 20 sati subota 09 15 sati mogucnost slanja hp expressom po cijeloj hr pogledajte nase ostale oglase kupionica,41636289,29.11.2023.,1473
4,iconnectservis,trgovine,apple iphone 14 pro max 256gb rabljeno do 36 rata,Osječko-baranjska,rabljeno,999,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 14 pro max 256gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno zdravlje baterije 87% boja ljubicasti mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 999 00 cijena za kartice na rate 1.100 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,42106497,29.11.2023.,90
5,iconnectservis,trgovine,apple iphone 14 pro max 128gb rabljeno,Osječko-baranjska,rabljeno,979,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 14 pro max 128gb jamstvo na uredjaj jamstvo 07.05.2024. stanje uredjaja rabljeno zdravlje baterije 99% boja crna mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 979 00 cijena za kartice na rate 1.100 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com slicni oglasi,41807912,29.11.2023.,380
6,Mastakilla22,oglasivaca,iphone 14 pro max 128gb black kao nov,Grad Zagreb,rabljeno,900,prodajem navedeni mobitel garancija i racun iz tcoma star nesto manje od 3 mjeseca aktiviran 22.08.2023. zdravlje baterije 100%. od prvog dana u zastitnoj masci i sa kaljenim staklom 2 spigen maskice i 1 dodatno zastitno staklo na poklon. cijena fiksna 900 ,41961753,29.11.2023.,34
7,paki182,oglasivaca,iphone 14 pro max 128 gb,Grad Zagreb,rabljeno,950,prodajem iphone 14 pro max 128gb u odlicnom stanju sa zdravljem baterije 99%. uz telefon dolazi i originalna mag safe maska. za vise slika i detalja kontakt na 0989479712. telefon je moguce pogledati u zagrebu.,42146858,29.11.2023.,11
8,Ana_mm,oglasivaca,iphone 14 pro max black 512gb stanje top baterija 97% zamjene,Splitsko-dalmatinska,rabljeno,979,iphone 14 pro max 512gb black stanje top radi na sve mreze baterija 97% moguce zamjene 979 0917896654,42055164,29.11.2023.,115
9,mazuranka,oglasivaca,iphone 14 pro max 128gb black,Grad Zagreb,rabljeno,930,kupljen prosle godine kad je izasao. imam racun bez ogrebotine kao nov. ima 96% baterije. uz njega idu maskice te kabel za punjenje te zicane slusalice. ne prihvacam zamjene ,41698382,29.11.2023.,1093
