,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,bvmk,oglasivaca,iphone 12 pro max 512gb pacific blue ,Grad Zagreb,rabljeno,600,telefon u odlicnom stanju od prvog dana koristen sa zastitnom maskom i staklom 10 10,41227282,20.12.2023.,2126
1,Smart Doctor,trgovine,apple iphone 12 promax 512gb rabljeno do 36 rata zamjena,Osječko-baranjska,rabljeno,680,uredjaj apple iphone 12 promax 512gb stanje uredjaja rabljeno jamstvo na uredjaj 3 mj. baterija 86% pisana garancija uz svaki uredjaj mreze slobodan uredjaj cijena za gotovinu 680 00 cijena za kartice 748 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija smart doctor servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste diners do 36 rata visa premium do 12 rata u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,42336698,20.12.2023.,7
2,JosipF97,oglasivaca,iphone 12 pro max 128gb,Grad Zagreb,rabljeno,480,iphone 12 pro max stanje 5 5 posjedujem kompletnu ambalazu punjac i zastitnu masku na njemu je takodjer i kaljeno staklo. zdravlje baterije 88% cijena 480 kontakt 0993516686 mogucnost dostave za zagreb i okolicu.,42336363,20.12.2023.,21
3,iconnectservis,trgovine,apple iphone 12 pro 128gb rabljeno do 36 rata zamjena,Osječko-baranjska,rabljeno,479,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 12 pro 128gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno zdravlje baterije 83% boja crna mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 479 00 cijena za kartice na rate 540 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,41236594,20.12.2023.,227
4,iconnectservis,trgovine,apple iphone 12 pro max 128gb rabljeno do 36 rata,Osječko-baranjska,rabljeno,499,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 12 pro max 128gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno boja bijela mreze otkljucan na sve mreze zdravlje baterije 81% cijena za gotovinu kartica jednokratno 499 00 cijena za kartice na rate 580 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,42334365,20.12.2023.,37
5,eltrondd,oglasivaca,iphone 12 pro max 128gb gold racun garan ko novi bat.100% dostava,Grad Zagreb,rabljeno,570,iphone 12 pro max gold 128gb mobitel doslovce ko novi racun i garancija tvornicki odklj na sve mreze dolazi sa brzim punjcem moguca dostava 0996707567,42038155,20.12.2023.,1205
6,DotMedia,oglasivaca,apple iphone 12 pro max 128gb,Grad Zagreb,rabljeno,450,mobitel u jako dobrom stanju 9 5 10. baterija 87% i dalje drzi 4 5 5h upaljenog zaslona. kutija i maskica na poklon.,42335723,20.12.2023.,15
7,zorank99,oglasivaca,iphone 12 pro max 128gb,Grad Zagreb,rabljeno,549,iphone 12 pro max 128gb stanje odlicno vidljivo na slikama garancija istekla.sve ispravno.plus dvije maske.jedna carbon od 80 . zamjena moguca prednost android uz moju nadoplatu.,42335628,20.12.2023.,24
8,zovime,oglasivaca,iphone 12 pro max 128gb graphite 10 10,Grad Zagreb,rabljeno,470,prodajem iphone 12 pro max od 128gb memorije u crnoj boji. mobitel je u savrsenom u stanju bez ikakvih tragova koristenja kao sta se moze vidjeti na slikama. na uredjaju nikada nista nije popravljano ili mijenjano te je sve ispravno. star vise od 2 godine dolazi sa racunom jamstvo isteklo. radi na sve mreze. moguca je svaka provjera uredjaja.,42163401,20.12.2023.,1025
9,dariodrasnice,oglasivaca,iphone 12 pro max gold 256 gb,Grad Zagreb,rabljeno,500,iphone 12 pro max 256gb kupljen u hrvatskom telekomu u 11. mjesecu 2020. sa svom opremom baterija na 86% ocuvan 10 10,33139685,20.12.2023.,7265
